Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2025-08-29T16:15:00.000Z,"6,458.71","6,459.41","6,458.70","6,459.40",0.0113,0.0109,30
2025-08-29T16:16:00.000Z,"6,459.34","6,460.25","6,459.31","6,459.88",0.0074,0.007,31
2025-08-29T16:17:00.000Z,"6,459.85","6,460.37","6,459.72","6,459.95",0.0011,0.0007,32
2025-08-29T16:18:00.000Z,"6,459.88","6,459.88","6,457.30","6,457.30",-0.041,-0.0414,32
2025-08-29T16:19:00.000Z,"6,457.24","6,458.55","6,457.24","6,458.20",0.0139,0.0135,22
2025-08-29T16:20:00.000Z,"6,458.11","6,458.69","6,457.86","6,458.69",0.0076,0.0072,25
2025-08-29T16:21:00.000Z,"6,458.66","6,459.48","6,458.55","6,459.44",0.0116,0.0112,35
2025-08-29T16:22:00.000Z,"6,459.47","6,459.47","6,458.85","6,458.85",-0.0091,-0.0095,37
2025-08-29T16:23:00.000Z,"6,458.77","6,459.10","6,458.32","6,458.54",-0.0048,-0.0052,25
2025-08-29T16:24:00.000Z,"6,458.57","6,459.39","6,458.57","6,459.21",0.0104,0.01,24
2025-08-29T16:25:00.000Z,"6,459.24","6,459.60","6,458.52","6,458.74",-0.0073,-0.0077,25
2025-08-29T16:26:00.000Z,"6,458.44","6,458.48","6,456.62","6,456.68",-0.0319,-0.0323,33
2025-08-29T16:27:00.000Z,"6,456.73","6,456.90","6,454.88","6,454.88",-0.0279,-0.0283,34
2025-08-29T16:28:00.000Z,"6,454.34","6,455.22","6,454.34","6,455.22",0.0053,0.0049,39
2025-08-29T16:29:00.000Z,"6,455.21","6,455.26","6,454.66","6,454.80",-0.0065,-0.0069,27
2025-08-29T16:30:00.000Z,"6,454.81","6,456.71","6,454.81","6,456.71",0.0296,0.0292,32
2025-08-29T16:31:00.000Z,"6,456.75","6,458.54","6,456.72","6,458.32",0.0249,0.0245,40
2025-08-29T16:32:00.000Z,"6,458.35","6,459.41","6,458.35","6,459.21",0.0138,0.0134,26
2025-08-29T16:33:00.000Z,"6,459.24","6,459.86","6,459.05","6,459.50",0.0045,0.0041,33
2025-08-29T16:34:00.000Z,"6,459.41","6,460.17","6,459.04","6,459.92",0.0065,0.0061,34
2025-08-29T16:35:00.000Z,"6,459.99","6,461.22","6,459.65","6,461.21",0.02,0.0196,32
2025-08-29T16:36:00.000Z,"6,461.25","6,461.25","6,459.88","6,460.28",-0.0144,-0.0148,33
2025-08-29T16:37:00.000Z,"6,460.32","6,460.55","6,460.01","6,460.15",-0.002,-0.0024,24
2025-08-29T16:38:00.000Z,"6,460.23","6,461.70","6,460.23","6,461.47",0.0204,0.02,31
2025-08-29T16:39:00.000Z,"6,461.50","6,462.06","6,460.97","6,461.94",0.0073,0.0069,30
2025-08-29T16:40:00.000Z,"6,461.78","6,461.98","6,461.12","6,461.26",-0.0105,-0.0109,26
2025-08-29T16:41:00.000Z,"6,461.29","6,461.65","6,460.67","6,461.54",0.0043,0.0039,34
2025-08-29T16:42:00.000Z,"6,461.71","6,461.77","6,461.17","6,461.29",-0.0039,-0.0043,28
2025-08-29T16:43:00.000Z,"6,461.30","6,461.56","6,460.97","6,461.13",-0.0025,-0.0029,30
